;Date;No_cases;Workplace;Events;Daycare;Higher Education;Secondary Education;Primary Education;Restaurants/Cafes;Transport;Entertainment;Sports;Indoor;Masks;MassGather50;MassGatherAll;Shops;Outdoor;Religion;Gatherings;Stayhome;Telework;Prikken;Rolling_R;perc_randstad;perc_under_30;perc_M
29;2020-03-25;0.08899316048989979;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;1.0066571303707663;0.4495084897229669;0.10098302055406613;0.3512064343163539
30;2020-03-26;0.07292826467313504;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;1.0145721109943977;0.44274809160305345;0.09923664122137404;0.36095965103598693
31;2020-03-27;0.09002703992365198;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;1.0254911633135593;0.4381625441696113;0.11130742049469965;0.31007067137809186
32;2020-03-28;0.08398282169556227;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;1.035467690231444;0.42234848484848486;0.10606060606060606;0.3162878787878788
33;2020-03-29;0.08080165420709401;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;1.0397667849376926;0.44586614173228345;0.13385826771653545;0.2854330708661417
34;2020-03-30;0.07865436615237792;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;1.0375994384550857;0.3943377148634985;0.1243680485338726;0.2810920121334681
35;2020-03-31;0.07229203117544139;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;1.0278548486881758;0.39383938393839385;0.1265126512651265;0.2816281628162816
36;2020-04-01;0.09845713376809288;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;1.0123083460057891;0.43537964458804523;0.1074313408723748;0.2956381260096931
37;2020-04-02;0.0770637824081438;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.9921580022518675;0.39525283797729616;0.11764705882352941;0.2889576883384933
38;2020-04-03;0.07929059965007158;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.9693647190059703;0.4383149448345035;0.1213640922768305;0.27382146439317956
